"id","name","bat_side","side","avg_batter_y_position","avg_batter_x_position","avg_foot_sep","avg_stance_angle","avg_intercept_y_vs_batter","avg_intercept_y_vs_plate"
646240,"Devers, Rafael","L","L",22.474864996818415,25.92262103714761,31.57473754682437,-64.6043430446665,28.54608446825633,6.071219471437913
682985,"Greene, Riley","L","L",29.87621971239875,24.652797116024733,28.03444553506296,-8.313538628189155,32.03076309095906,2.154543378560306
621566,"Olson, Matt","L","L",31.158577819461257,30.52909491143871,31.275590533291858,-10.440481795890669,32.50671443641314,1.3481366169518951
691718,"Crow-Armstrong, Pete","L","L",30.248640860108182,26.618154812701015,33.7185206717124,-2.382695575263178,36.18669356106076,5.938052700952581
677594,"Rodríguez, Julio","R","R",20.3317842090747,29.705195771201883,31.25996156705673,0.9611987717910305,32.288754143514296,11.95696993443958
592518,"Machado, Manny","R","R",24.668741287317474,31.086610302750366,31.096530906003018,-41.16430826559543,30.81049903452873,6.1417577472112574
596115,"Story, Trevor","R","R",25.700770144519737,29.912583101465568,36.06934256346561,-26.005338022634668,35.36004415548897,9.659274010969256
572233,"Walker, Christian","R","R",28.610879775980656,26.295575616510767,24.988014447256095,-16.316231164513734,31.447010492055156,2.836130716074497
553993,"Suárez, Eugenio","R","R",18.29803545217391,23.07972821551156,23.023760764414135,-23.533185708103968,35.65544708141939,17.357411629245505
521692,"Perez, Salvador","R","R",29.5712904498446,27.29221372285295,32.717376236233775,-20.39173661143279,30.421032136984977,0.8497416871403711
642715,"Adames, Willy","R","R",29.106121460433663,28.93962035442951,33.10252279366315,-2.608996679345842,31.552911222543653,2.4467897621099906
660271,"Ohtani, Shohei","L","L",28.985436377625668,31.931798658016543,36.73265894477759,-9.431626335046655,27.595199829033728,-1.390236548591936
656941,"Schwarber, Kyle","L","L",21.072391272586664,25.299059756177815,29.790812044627717,-8.381406644117058,33.42247019586004,12.350078923273381
621020,"Swanson, Dansby","R","R",30.462505402693175,27.563863770665204,24.189655787540648,-12.497783234517463,32.3863174494602,1.9238120467670232
