,name,batter,bat_speed,attack_angle,vba,ttc
103,Adolis García,666969,72.214,8.777,-28.046,0.143
104,Hunter Goodman,696100,74.439,13.402,-25.259,0.133
105,Brandon Lowe,664040,73.908,14.839,-33.492,0.133
106,Jazz Chisholm,665862,73.903,15.822,-32.912,0.144
107,Otto Lopez,672640,71.697,7.429,-29.94,0.129
108,Agustín Ramírez,682663,75.342,7.453,-25.189,0.136
109,Ceddanne Rafaela,678882,70.913,11.466,-32.601,0.143
110,Ketel Marte,606466,74.758,10.168,-31.875,0.143
111,Jackson Chourio,694192,73.84,7.114,-26.432,0.139
112,Cedric Mullins,656775,71.007,11.393,-29.185,0.145
113,Xander Bogaerts,593428,72.235,10.16,-31.013,0.139
114,Teoscar Hernández,606192,72.975,10.315,-31.87,0.146
115,Paul Goldschmidt,502671,72.731,9.75,-31.968,0.142
116,Josh Bell,605137,73.169,10.065,-33.69,0.149
117,Marcus Semien,543760,68.434,15.774,-34.774,0.154
118,Chase Meidroth,805367,67.335,6.558,-29.345,0.135
119,Lenyn Sosa,672820,72.619,10.52,-32.633,0.14
120,Byron Buxton,621439,75.089,14.125,-34.047,0.144
121,Gavin Lux,666158,69.573,11.323,-33.273,0.144
122,Ben Rice,700250,73.479,10.703,-33.257,0.137
123,Zach Mckinstry,656716,67.606,9.876,-37.454,0.137
124,Josh Naylor,647304,70.893,7.467,-31.327,0.146
125,Jorge Polanco,593871,71.139,9.485,-30.489,0.139
126,Kyle Manzardo,700932,70.631,17.392,-37.025,0.143
127,Cam Smith,701358,74.546,7.58,-38.108,0.134
128,Michael Conforto,624424,74.155,10.407,-32.116,0.135
129,Luis Rengifo,650859,69.582,7.249,-33.643,0.138
130,Brooks Lee,686797,69.524,11.303,-30.895,0.141
131,Ramón Laureano,657656,72.176,15.545,-35.138,0.132
132,Lourdes Gurriel,666971,70.604,10.521,-36.892,0.145
133,Alejandro Kirk,672386,72.66,7.957,-24.021,0.135
134,Carlos Santana,467793,71.359,12.849,-26.701,0.146
135,Addison Barger,680718,76.006,9.137,-28.827,0.138
136,Nick Kurtz,701762,77.305,14.356,-39.125,0.136
137,Alex Bregman,608324,71.093,13.58,-28.078,0.136
138,Brenton Doyle,686668,70.73,11.487,-30.283,0.139
139,Eric Wagaman,676572,73.459,6.927,-27.92,0.133
140,Isaac Paredes,670623,68.947,15.534,-32.507,0.159
141,Harrison Bader,664056,73.597,12.162,-25.411,0.133
142,Jesús Sánchez,660821,75.898,7.146,-27.816,0.124
143,Alec Burleson,676475,72.331,10.063,-31.781,0.141
144,Brendan Donovan,680977,69.274,7.799,-30.341,0.134
145,Josh Jung,673962,70.301,11.47,-37.668,0.135
146,Shea Langeliers,669127,73.884,11.472,-30.327,0.133
147,Wilmer Flores,527038,65.53,11.227,-32.143,0.144
148,Will Smith,669257,69.744,11.664,-33.975,0.142
149,Ryan Jeffers,680777,72.364,9.955,-28.574,0.138
150,Yainer Diaz,673237,72.202,10.445,-28.275,0.139
151,Ty France,664034,70.99,10.686,-34.8,0.143
152,Joey Ortiz,687401,72.293,1.634,-27.806,0.142
153,Ernie Clement,676391,67.532,11.505,-32.184,0.143
154,Adam Frazier,624428,65.79,11.231,-39.134,0.143
155,Josh Lowe,666139,72.472,7.165,-35.879,0.138
156,Luis García,671277,72.407,10.702,-28.559,0.14
157,Caleb Durbin,702332,67.746,7.907,-27.493,0.137
158,Max Kepler,596146,71.311,7.834,-31.779,0.141
159,Colt Keith,690993,70.82,11.798,-32.923,0.131
160,Carlos Narváez,665966,72.28,9.162,-30.024,0.143
161,Iván Herrera,671056,74.447,8.694,-32.016,0.144
162,Alec Bohm,664761,71.739,5.367,-29.804,0.139
163,Dillon Dingler,693307,71.719,10.829,-39.776,0.147
164,Angel Martínez,682657,69.931,12.083,-33.666,0.144
165,Austin Riley,663586,75.907,10.858,-32.184,0.136
166,Austin Wells,669224,73.445,10.451,-31.873,0.141
167,Gabriel Arias,672356,75.12,9.769,-29.1,0.139
168,Isaac Collins,686555,72.649,3.968,-28.846,0.125
169,Jeremy Peña,665161,72.34,10.938,-30.439,0.143
170,Mark Vientos,668901,71.302,14.588,-31.875,0.145
171,Logan O'Hoppe,681351,71.971,15.692,-32.949,0.145
172,Ronald Acuña,660670,76.414,11.874,-38.713,0.136
173,Brett Baty,683146,74.825,8.434,-35.451,0.134
174,Drake Baldwin,686948,75.371,9.43,-31.697,0.13
175,Willi Castro,650489,71.587,7.647,-37.157,0.138
176,Jacob Wilson,805779,63.79,2.774,-35.133,0.131
177,Kerry Carpenter,681481,71.97,17.131,-34.874,0.142
178,Jeff Mcneil,643446,70.75,8.621,-33.067,0.141
179,Jonathan Aranda,666018,70.488,10.198,-35.575,0.141
180,Andrew Benintendi,643217,68.717,15.816,-32.482,0.141
181,Patrick Bailey,672275,71.478,8.452,-32.875,0.139
182,Kyle Stowers,669065,75.0,11.566,-33.884,0.122
183,Andrew Vaughn,683734,70.68,7.819,-29.426,0.14
184,Tommy Pham,502054,73.456,8.248,-27.366,0.131
185,Jackson Merrill,701538,71.974,9.816,-37.49,0.141
186,Corey Seager,608369,72.576,12.873,-34.236,0.126
187,Jonah Heim,641680,68.981,11.023,-28.601,0.149
188,Victor Scott,687363,67.838,8.941,-32.238,0.128
189,Nolan Jones,666134,72.689,8.818,-35.455,0.129
190,Spencer Horwitz,687462,68.461,9.885,-35.853,0.139
191,Jasson Domínguez,691176,74.173,6.686,-31.331,0.144
192,Matt Shaw,807713,69.511,11.014,-26.727,0.137
193,Bo Naylor,666310,72.42,13.664,-31.952,0.146
194,Alek Thomas,677950,71.023,10.006,-27.583,0.135
195,Nathan Lukes,664770,67.881,7.244,-31.635,0.13
196,Daniel Schneemann,682177,70.818,13.915,-34.888,0.135
197,Brandon Marsh,669016,71.372,9.513,-38.51,0.137
198,Nolan Gorman,669357,72.704,14.917,-34.091,0.142
199,Carson Kelly,608348,70.541,11.876,-33.148,0.135
200,Tyler Freeman,671289,71.173,2.86,-35.522,0.133
201,Isiah Kiner-Falefa,643396,66.459,4.326,-32.453,0.141
202,Wilyer Abreu,677800,74.152,9.603,-31.205,0.131
203,Max Muncy,571970,71.086,17.692,-34.671,0.134
204,Nolan Arenado,571448,71.43,10.543,-33.199,0.161
205,Mickey Moniak,666160,73.701,11.643,-33.581,0.142
206,Mike Tauchman,643565,69.066,8.493,-34.212,0.142
207,Nick Allen,669397,64.156,6.871,-30.269,0.134
208,Jurickson Profar,595777,70.919,10.875,-30.796,0.144
209,Edgar Quero,700337,67.53,6.047,-31.497,0.136
210,Austin Hays,669720,71.923,14.235,-30.792,0.134
211,Matt Wallner,670242,76.603,12.584,-28.218,0.132
212,Jordan Walker,691023,78.13,6.219,-31.429,0.145
213,Javier Báez,595879,73.473,9.964,-30.26,0.154
214,Luis Robert,673357,75.61,12.126,-36.516,0.141
215,Liam Hicks,689414,67.309,8.983,-32.615,0.136
