name,batter,bat_speed,attack_angle,vba,hba,zone_top,zone_bot,ttc,swing_length,side,batter_depth,batter_distance,contact_depth,avg,obp,slg,bb_rate,k_rate
Tj Friedl,670770,69.716,9.195,-28.291,-7.609,38.46,17.916,0.131,6.709,L,32.284507730021325,24.36089637445006,8.087572907760084,0.261,0.364,0.378,11.8,16.8
Marcell Ozuna,542303,72.897,13.938,-36.88,-0.956,42.924,21.18,0.136,7.244,R,34.41506070281109,26.101641530061254,-2.0106597763768232,0.232,0.355,0.4,15.9,24.3
Bryan Reynolds,668804,72.254,13.09,-37.885,1.02,38.82,18.588,0.131,6.953,L,26.495074363619267,26.903471289041786,1.7253217281563786,0.245,0.318,0.402,8.7,26.5
Bryan Reynolds,668804,72.254,13.09,-37.885,1.02,38.82,18.588,0.131,6.953,R,30.99910340634437,28.288583196840285,-2.4685438674045934,0.245,0.318,0.402,8.7,26.5
Jarren Duran,680776,74.849,5.694,-26.533,-0.038,41.892,19.956,0.137,7.493,L,28.54725140046869,30.50011775356837,3.164591736287339,0.256,0.332,0.442,8.6,24.3
Christian Yelich,592885,73.292,9.669,-36.238,7.083,40.763999999999996,20.856,0.14,7.533,L,27.755401750596143,29.9123471086608,-1.0227894008472458,0.264,0.343,0.452,9.9,25.9
Eugenio Suárez,553993,72.243,18.465,-38.717,-5.482,41.832,19.056,0.147,7.801,R,18.29803545217391,23.07972821551156,17.357411629245505,0.228,0.298,0.526,7.0,29.8
Nathaniel Lowe,663993,72.709,6.702,-30.105,7.8,41.844,18.912,0.136,7.224,L,26.28714598471269,29.976735819516804,1.114349938222685,0.228,0.307,0.381,10.2,26.1
Brandon Nimmo,607043,72.258,6.679,-29.063,2.073,43.392,20.580000000000002,0.136,7.192,L,28.26246512340836,31.48681166087718,-1.3790762207977232,0.262,0.324,0.436,7.7,21.6
Cody Bellinger,641355,70.18,12.954,-32.396,-3.295,46.2,21.564,0.151,7.761,L,32.717149303658296,21.03212304600008,-2.6342303190454386,0.272,0.334,0.48,8.7,13.7
Brent Rooker,667670,73.587,12.316,-36.264,-6.201,42.96,20.364,0.132,7.104,R,31.38413223639774,27.216434356785108,1.421471970091913,0.262,0.335,0.479,9.3,22.2
Vinnie Pasquantino,686469,72.592,9.803,-29.396,-9.362,42.42,20.088,0.139,7.387,L,28.61871810985254,31.15024992380272,3.4713707721743,0.264,0.323,0.475,7.2,15.7
William Contreras,661388,73.236,10.636,-29.256,3.287,42.096000000000004,20.052,0.133,7.115,R,28.540863058923392,27.95898782692904,1.6681114782964943,0.26,0.355,0.399,12.7,18.2
Yandy Díaz,650490,73.6,2.914,-24.426,6.998,42.024,19.451999999999998,0.142,7.638,R,29.340035890577028,28.665182920901312,0.561490283934702,0.3,0.366,0.482,8.8,14.1
Bobby Witt,677951,74.424,5.19,-28.624,-0.393,42.348,19.716,0.129,7.041,R,27.4586412907125,25.22649204350365,0.3399506629422963,0.295,0.351,0.501,7.1,18.2
Vladimir Guerrero,665489,76.814,1.282,-27.428,-4.622,44.124,19.788,0.136,7.64,R,27.83987728190725,28.98723298870009,6.57606136450804,0.292,0.381,0.467,11.9,13.8
Gunnar Henderson,683002,75.43,8.588,-29.096,0.7,44.304,20.988,0.132,7.291,L,26.66754126076994,25.816405320983904,6.75081212924464,0.274,0.349,0.438,9.5,21.0
Maikel García,672580,71.891,4.571,-27.118,0.493,43.308,20.567999999999998,0.138,7.268,R,30.507457718233773,25.94260613784594,3.423060496132864,0.286,0.351,0.449,9.3,12.6
Lawrence Butler,671732,73.732,6.801,-30.464,1.762,42.372,19.919999999999998,0.131,7.077,L,25.894135567710176,31.233727789957342,2.933872474067319,0.234,0.306,0.404,9.4,28.4
Julio Rodríguez,677594,76.487,7.021,-31.687,-1.592,40.571999999999996,18.456,0.137,7.68,R,20.3317842090747,29.705195771201883,11.95696993443958,0.267,0.324,0.474,6.2,21.4
Christian Walker,572233,74.146,9.064,-29.417,-4.577,40.86,18.816000000000003,0.138,7.474,R,28.610879775980656,26.295575616510767,2.836130716074497,0.238,0.297,0.421,6.3,27.7
Corbin Carroll,682998,74.708,11.061,-25.733,-3.404,38.483999999999995,18.144,0.133,7.306,L,30.66264089100784,29.91106558614071,5.977992253994856,0.259,0.343,0.541,10.4,23.8
Mike Trout,545361,74.076,7.586,-36.373,0.163,43.344,20.496,0.137,7.461,R,29.941576706040227,25.30001234756704,-5.67197849416535,0.232,0.359,0.439,15.6,32.0
Ryan Mcmahon,641857,73.983,13.054,-38.784,0.966,42.18,19.32,0.137,7.44,L,24.003716552332666,32.03037079180328,2.759374273512436,0.214,0.312,0.381,11.9,32.3
Junior Caminero,691406,78.613,8.016,-26.221,-5.395,42.732,19.584,0.146,8.423,R,28.23679998976382,28.63693533218145,7.691020535541662,0.264,0.311,0.535,6.3,19.1
Dansby Swanson,621020,70.903,15.71,-34.535,-1.543,42.96,19.956,0.143,7.414,R,30.46250540269317,27.563863770665204,1.9238120467670232,0.244,0.3,0.417,7.3,26.0
Trevor Story,596115,71.133,10.592,-29.413,-4.589,41.544000000000004,19.296,0.141,7.364,R,25.700770144519737,29.912583101465568,9.659274010969256,0.263,0.308,0.433,5.0,26.9
