name,batter,bat_speed,attack_angle,vba,hba,zone_top,zone_bot,ttc,swing_length,side,batter_depth,batter_distance,contact_depth,avg,obp,slg,bb_rate,k_rate
Lourdes Gurriel,666971,70.604,10.521,-36.892,-6.059,44.46,21.0,0.145,7.494,R,28.76530627137782,26.06059986537395,2.3379806031351893,0.248,0.295,0.418,5.7,13.9
Alejandro Kirk,672386,72.66,7.957,-24.021,4.258,37.367999999999995,17.772000000000002,0.135,7.203,R,21.64216732450783,31.544532501466307,8.420585143408626,0.282,0.348,0.421,9.5,11.7
Carlos Santana,467793,71.359,12.849,-26.701,-5.619,41.172,20.112,0.146,7.637,L,26.65242485984414,26.75355164044354,8.04525647044181,0.219,0.308,0.325,11.0,19.2
Carlos Santana,467793,71.359,12.849,-26.701,-5.619,41.172,20.112,0.146,7.637,R,28.878802008408464,27.42482514663009,3.700900408973573,0.219,0.308,0.325,11.0,19.2
Addison Barger,680718,76.006,9.137,-28.827,-5.102,44.46,20.364,0.138,7.664,L,33.1970279227107,25.47178742344957,-1.6682471849543925,0.243,0.301,0.454,7.2,24.1
Nick Kurtz,701762,77.305,14.356,-39.125,1.546,44.58,20.304,0.136,7.714,L,23.43214969363939,27.741253815479016,1.3216538580427906,0.29,0.383,0.619,12.9,30.9
Alex Bregman,608324,71.093,13.58,-28.078,-5.233,40.14,19.164,0.136,7.081,R,28.660725447171988,24.777290238904836,3.1446407823101628,0.273,0.36,0.462,10.3,14.1
Brenton Doyle,686668,70.73,11.487,-30.283,0.634,41.076,19.944,0.139,7.215,R,24.078952411815717,29.09176966023826,1.958652859987022,0.233,0.274,0.376,5.6,25.7
Eric Wagaman,676572,73.459,6.927,-27.92,-2.841,42.24,19.488,0.133,7.133,R,25.105128353775772,28.13747382103788,7.225099787299427,0.25,0.296,0.378,6.2,19.5
Isaac Paredes,670623,68.947,15.534,-32.507,-15.372,39.084,18.78,0.159,8.029,R,30.86723797727982,25.83486971045713,6.956554680010887,0.254,0.352,0.458,11.4,17.4
Jesús Sánchez,660821,75.898,7.146,-27.816,-1.858,41.376,19.356,0.124,6.92,L,26.326256282612245,28.42052650929088,8.702681116236123,0.237,0.304,0.395,8.5,22.1
Harrison Bader,664056,73.597,12.162,-25.411,-5.638,38.483999999999995,18.227999999999998,0.133,7.158,R,27.14547933607261,27.17619643462175,6.406666493231944,0.277,0.347,0.449,7.8,27.1
Alec Burleson,676475,72.331,10.063,-31.781,0.333,42.071999999999996,19.212,0.141,7.454,L,33.982866528614856,23.41377616197696,-2.400123646412656,0.29,0.343,0.459,7.1,14.5
Brendan Donovan,680977,69.274,7.799,-30.341,1.968,40.403999999999996,19.512,0.134,6.796,L,26.40596676896548,28.4848881140967,-1.519993743726261,0.287,0.353,0.422,8.2,13.0
Josh Jung,673962,70.301,11.47,-37.668,2.56,44.808,21.035999999999998,0.135,6.98,R,22.57092205779461,25.01283917565142,9.57849550507322,0.251,0.294,0.39,5.3,25.2
Shea Langeliers,669127,73.884,11.472,-30.327,-3.217,39.54,18.204,0.133,7.216,R,27.166398644325938,29.6705098691198,6.498927366372352,0.277,0.325,0.536,6.9,19.7
Wilmer Flores,527038,65.53,11.227,-32.143,-6.604,38.903999999999996,19.092,0.144,6.893,R,27.685613389206804,25.257294474623286,3.697373347309652,0.241,0.307,0.379,7.3,19.0
Will Smith,669257,69.744,11.664,-33.975,1.004,40.728,18.708,0.142,7.25,R,32.91859266016374,28.985881003910304,-1.6564586628538505,0.296,0.404,0.497,14.7,20.4
Ryan Jeffers,680777,72.364,9.955,-28.574,-3.326,40.176,19.248,0.138,7.302,R,28.250531518325843,27.333555054758698,0.8914934496368112,0.266,0.356,0.397,10.8,19.6
Yainer Diaz,673237,72.202,10.445,-28.275,0.9,38.099999999999994,17.796,0.139,7.33,R,29.07505260972378,28.29610692459826,3.3356394866286845,0.256,0.284,0.417,3.5,16.8
Ty France,664034,70.99,10.686,-34.8,5.198,38.664,17.759999999999998,0.143,7.451,R,28.35483313131073,26.483268358019732,-0.8333114542189566,0.257,0.32,0.36,4.5,16.9
Joey Ortiz,687401,72.293,1.634,-27.806,-1.559,40.715999999999994,18.456,0.142,7.523,R,31.94720850254025,28.208363361172847,-2.8554294830723004,0.23,0.276,0.317,5.3,14.6
Ernie Clement,676391,67.532,11.505,-32.184,-2.977,40.788,18.696,0.143,7.043,R,22.62260755311959,28.26591943057837,8.516740652222408,0.277,0.313,0.398,4.6,10.4
Adam Frazier,624428,65.79,11.231,-39.134,3.285,38.196,17.364,0.143,6.907,L,21.11910792609284,22.08754674962072,2.9233234818564946,0.267,0.319,0.365,5.7,17.6
Josh Lowe,666139,72.472,7.165,-35.879,-0.429,44.736000000000004,21.432000000000002,0.138,7.31,L,24.507882346356517,30.87426250297912,4.690908303548938,0.22,0.283,0.366,7.6,25.1
Luis García,671277,72.407,10.702,-28.559,-2.556,41.712,19.944,0.14,7.399,L,28.15779110958997,28.678959642864587,5.230440300792153,0.252,0.289,0.412,5.1,16.0
Caleb Durbin,702332,67.746,7.907,-27.493,-3.569,39.18,17.796,0.137,6.813,R,32.36441968312631,27.16432263127876,-4.52520074120244,0.256,0.334,0.387,5.9,9.9
Max Kepler,596146,71.311,7.834,-31.779,-7.045,41.568,19.968,0.141,7.368,L,32.40807439666062,30.113633281720844,0.1121373947607663,0.216,0.3,0.391,10.1,19.6
Carlos Narváez,665966,72.28,9.162,-30.024,2.43,42.900000000000006,19.416,0.143,7.593,R,25.038900128089264,29.202856399370297,5.604298609743142,0.241,0.306,0.419,8.5,24.9
Colt Keith,690993,70.82,11.798,-32.923,-2.591,39.78,18.648,0.131,6.818,L,22.79209010827282,28.708330077458985,8.701621873599093,0.256,0.333,0.413,10.3,21.8
Iván Herrera,671056,74.447,8.694,-32.016,-0.563,40.884,18.732,0.144,7.842,R,31.871211708510927,27.455339550214397,-0.367867370097973,0.284,0.373,0.464,9.5,18.6
Alec Bohm,664761,71.739,5.367,-29.804,4.391,43.284000000000006,19.896,0.139,7.285,R,25.706436136354064,29.67344053738828,0.9055346884932328,0.287,0.331,0.409,5.8,16.3
Dillon Dingler,693307,71.719,10.829,-39.776,-0.396,41.28,18.552,0.147,7.702,R,25.6224252109902,28.35203661687062,2.15563062988572,0.278,0.327,0.425,4.9,23.5
Angel Martínez,682657,69.931,12.083,-33.666,-6.674,38.784000000000006,17.316000000000003,0.144,7.365,L,30.673925253340165,25.20716230261917,5.737862626544947,0.224,0.269,0.359,4.8,22.7
Angel Martínez,682657,69.931,12.083,-33.666,-6.674,38.784000000000006,17.316000000000003,0.144,7.365,R,30.58896156293129,22.814860224098283,9.064940523563306,0.224,0.269,0.359,4.8,22.7
Austin Wells,669224,73.445,10.451,-31.873,-5.628,41.964,19.44,0.141,7.597,L,30.772296024679427,23.643682090887676,-0.2228123024011126,0.219,0.275,0.436,6.7,26.3
Austin Riley,663586,75.907,10.858,-32.184,-4.496,41.796,19.236,0.136,7.572,R,28.838573911422014,28.165670801381697,6.746037709035644,0.26,0.309,0.428,6.0,28.6
Gabriel Arias,672356,75.12,9.769,-29.1,1.117,41.964,18.648,0.139,7.622,R,29.14403055512306,35.60733784624777,5.266487707361552,0.22,0.274,0.363,5.7,34.4
Isaac Collins,686555,72.649,3.968,-28.846,-2.026,39.168,18.516,0.125,6.687,L,30.46952421484889,29.972356880326146,-0.144355130390942,0.263,0.368,0.411,12.9,21.1
Isaac Collins,686555,72.649,3.968,-28.846,-2.026,39.168,18.516,0.125,6.687,R,29.34187065231952,30.13646018234648,6.503519083317229,0.263,0.368,0.411,12.9,21.1
Jeremy Peña,665161,72.34,10.938,-30.439,-8.278,42.552,20.604,0.143,7.556,R,30.18363093801783,26.22758012294659,1.8453379600671924,0.304,0.363,0.477,6.4,17.1
Mark Vientos,668901,71.302,14.588,-31.875,1.141,43.608,20.088,0.145,7.558,R,26.61667581841083,28.766284419607533,1.5149921010933984,0.233,0.289,0.413,6.5,24.8
Ronald Acuña,660670,76.414,11.874,-38.713,6.162,43.296,19.668,0.136,7.593,R,31.270136391804524,25.480626678605617,-1.0701375459309217,0.29,0.417,0.518,17.2,24.8
Logan O'Hoppe,681351,71.971,15.692,-32.949,-3.655,41.352000000000004,19.476,0.145,7.631,R,27.544270363390496,28.64818029772024,6.059931446725113,0.213,0.258,0.371,5.3,30.8
Brett Baty,683146,74.825,8.434,-35.451,3.771,44.664,20.556,0.134,7.358,L,30.040455213294265,30.264337954601505,-3.3811228331677547,0.254,0.313,0.435,7.6,25.0
Drake Baldwin,686948,75.371,9.43,-31.697,3.049,40.728,19.104,0.13,7.189,L,26.57317315684882,28.2161268112298,2.146328564490961,0.274,0.341,0.469,8.5,15.2
Willi Castro,650489,71.587,7.647,-37.157,-3.413,43.332,20.172,0.138,7.233,L,31.91751987581147,23.1205416483227,-2.3512938921170417,0.226,0.313,0.366,8.8,24.4
Willi Castro,650489,71.587,7.647,-37.157,-3.413,43.332,20.172,0.138,7.233,R,31.81817975232885,27.47472725769623,-0.0402166377499302,0.226,0.313,0.366,8.8,24.4
Jacob Wilson,805779,63.79,2.774,-35.133,-0.963,38.436,18.348,0.131,6.101,R,28.54904772116285,25.66990301496724,2.0390035078842144,0.311,0.355,0.444,5.2,7.5
Kerry Carpenter,681481,71.97,17.131,-34.874,-0.555,40.74,19.272000000000002,0.142,7.481,L,32.39884066892954,29.1078852614117,-6.658683298361614,0.252,0.291,0.497,3.9,22.8
Jeff Mcneil,643446,70.75,8.621,-33.067,-4.921,42.948,20.436,0.141,7.328,L,30.85904741000371,24.840482699991718,-0.9155952396050532,0.243,0.335,0.411,10.6,11.9
Jonathan Aranda,666018,70.488,10.198,-35.575,3.663,40.26,18.768,0.141,7.29,L,27.232112682489323,29.27360668622968,0.0903544848924921,0.316,0.393,0.489,9.7,25.4
Andrew Benintendi,643217,68.717,15.816,-32.482,-5.044,39.384,18.12,0.141,7.078,L,30.880119516124555,22.41238739937245,4.366788823539619,0.24,0.307,0.431,8.5,17.4
Patrick Bailey,672275,71.478,8.452,-32.875,-3.341,41.016000000000005,19.584,0.139,7.286,L,27.704060258929097,28.82722936283252,3.1558895619168013,0.222,0.277,0.325,6.6,29.4
Patrick Bailey,672275,71.478,8.452,-32.875,-3.341,41.016000000000005,19.584,0.139,7.286,R,27.026596642723984,28.40090475223508,1.995234603295544,0.222,0.277,0.325,6.6,29.4
Kyle Stowers,669065,75.0,11.566,-33.884,0.383,42.696,20.436,0.122,6.734,L,29.60861437119733,29.310556791584723,1.8863901192779544,0.288,0.368,0.544,10.5,27.4
Andrew Vaughn,683734,70.68,7.819,-29.426,-1.872,39.084,18.336,0.14,7.266,R,31.641726669780887,29.095871281089337,-2.145904904019269,0.254,0.307,0.411,6.9,17.9
Tommy Pham,502054,73.456,8.248,-27.366,-1.065,41.94,19.56,0.131,7.032,R,31.43017612554663,28.458180314978744,1.240696691386669,0.245,0.33,0.37,11.1,20.9
Jackson Merrill,701538,71.974,9.816,-37.49,1.04,42.732,19.764,0.141,7.437,L,24.61263755289271,28.722995163702,2.815747973499722,0.264,0.317,0.457,6.8,22.4
Corey Seager,608369,72.576,12.873,-34.236,3.462,41.772,18.107999999999997,0.126,6.689,L,26.48919703432885,29.05421121083488,5.5005449640197694,0.271,0.373,0.487,13.0,19.6
Jonah Heim,641680,68.981,11.023,-28.601,0.405,43.032,19.944,0.149,7.514,L,29.357531183379223,30.657446813610346,-0.0866950620899317,0.213,0.271,0.332,7.4,20.3
Jonah Heim,641680,68.981,11.023,-28.601,0.405,43.032,19.944,0.149,7.514,R,28.678105917497103,31.34586887461642,-2.6155670567477016,0.213,0.271,0.332,7.4,20.3
Victor Scott,687363,67.838,8.941,-32.238,-0.584,38.232,17.448,0.128,6.323,L,23.449514995398246,24.0829659744687,8.319320098974734,0.216,0.305,0.296,9.1,24.0
Nolan Jones,666134,72.689,8.818,-35.455,-0.011,44.952,20.616,0.129,6.867,L,27.083962384629984,27.327724313531174,5.623275902667617,0.211,0.296,0.304,9.7,28.0
Spencer Horwitz,687462,68.461,9.885,-35.853,-1.75,43.008,20.1,0.139,6.949,L,29.4263212564284,25.22851119330176,0.6019476016559994,0.272,0.353,0.434,10.7,17.8
Jasson Domínguez,691176,74.173,6.686,-31.331,-3.952,41.508,19.656,0.144,7.815,L,27.518933781220586,23.566473568166643,3.063355157656203,0.257,0.331,0.388,9.6,26.8
Jasson Domínguez,691176,74.173,6.686,-31.331,-3.952,41.508,19.656,0.144,7.815,R,29.35370414700744,25.288956400855717,-0.5791959499027222,0.257,0.331,0.388,9.6,26.8
Matt Shaw,807713,69.511,11.014,-26.727,-2.085,40.26,18.552,0.137,6.955,R,29.697855760147856,28.24319258207876,1.8919637627949668,0.226,0.295,0.394,8.7,21.5
Bo Naylor,666310,72.42,13.664,-31.952,-8.356,39.192,17.424,0.146,7.766,L,27.20230161471785,31.185444364403622,8.002514067474525,0.195,0.282,0.379,10.9,23.9
Alek Thomas,677950,71.023,10.006,-27.583,0.241,39.36,17.22,0.135,7.029,L,20.509436470069296,26.98160687337392,12.950450903772774,0.249,0.289,0.37,4.5,26.0
Nathan Lukes,664770,67.881,7.244,-31.635,8.283,40.884,18.732,0.13,6.47,L,26.82791115337036,30.67172871033181,-0.5829909117915256,0.255,0.323,0.407,8.7,13.7
Daniel Schneemann,682177,70.818,13.915,-34.888,3.314,40.548,19.68,0.135,7.006,L,29.02105916882145,26.0947119442013,4.784986687254836,0.206,0.283,0.354,9.0,27.7
Brandon Marsh,669016,71.372,9.513,-38.51,-0.492,39.06,18.576,0.137,7.143,L,27.83379768233486,29.380383482360696,-0.3424322903396838,0.28,0.342,0.443,8.9,25.9
Nolan Gorman,669357,72.704,14.917,-34.091,-2.014,41.88,19.512,0.142,7.559,L,31.152988252248612,30.39801354149656,1.936335104209104,0.205,0.296,0.37,11.7,33.8
Carson Kelly,608348,70.541,11.876,-33.148,-4.296,40.692,19.716,0.135,7.008,R,29.92319960676564,29.576360668080955,1.0182266938551094,0.249,0.333,0.428,10.7,19.0
Tyler Freeman,671289,71.173,2.86,-35.522,0.578,39.276,18.432000000000002,0.133,6.932,R,30.482351141474677,28.38926392851208,-0.9105605096764764,0.281,0.354,0.361,7.9,11.9
Isiah Kiner-Falefa,643396,66.459,4.326,-32.453,3.865,39.924,18.204,0.141,6.885,R,29.5368920845228,27.79607656708873,-0.6936909949979437,0.262,0.297,0.334,3.7,16.8
Wilyer Abreu,677800,74.152,9.603,-31.205,-1.477,39.96,18.756,0.131,7.125,L,29.825558752527147,26.57034079922222,1.5407770634582736,0.247,0.317,0.469,9.6,24.2
Max Muncy,571970,71.086,17.692,-34.671,-4.414,37.524,18.204,0.134,6.998,L,26.96724331281649,28.258625493186805,10.69664139757727,0.243,0.376,0.47,16.5,21.4
Nolan Arenado,571448,71.43,10.543,-33.199,-9.011,41.424,20.424,0.161,8.429,R,31.968060264240133,29.30931834158839,2.953002211921194,0.237,0.289,0.377,6.4,11.2
Mickey Moniak,666160,73.701,11.643,-33.581,-4.433,41.22,19.259999999999998,0.142,7.675,L,25.77214032467492,30.78387959378883,3.359453110818757,0.27,0.306,0.518,4.8,23.9
Mike Tauchman,643565,69.066,8.493,-34.212,1.138,42.924,20.004,0.142,7.173,L,33.4156741852709,29.63014101040977,-2.983638416102518,0.263,0.356,0.4,11.7,22.3
Jurickson Profar,595777,70.919,10.875,-30.796,-7.659,40.26,19.488,0.144,7.489,L,32.343230770147976,25.250178153028823,2.350653568204712,0.245,0.353,0.434,12.9,15.9
Jurickson Profar,595777,70.919,10.875,-30.796,-7.659,40.26,19.488,0.144,7.489,R,30.32508271613717,27.115740559280532,3.467167590843399,0.245,0.353,0.434,12.9,15.9
Nick Allen,669397,64.156,6.871,-30.269,0.056,37.284000000000006,17.34,0.134,6.31,R,27.301383619599243,27.06412555158528,4.802493637055838,0.221,0.284,0.251,7.5,23.8
Edgar Quero,700337,67.53,6.047,-31.497,9.329,39.672,18.384,0.136,6.713,L,34.912603424669605,29.722381864950982,-10.629818003647898,0.268,0.333,0.356,7.9,17.6
Edgar Quero,700337,67.53,6.047,-31.497,9.329,39.672,18.384,0.136,6.713,R,32.59357820866725,29.38356560109401,-5.625068418204801,0.268,0.333,0.356,7.9,17.6
Austin Hays,669720,71.923,14.235,-30.792,-5.656,38.652,17.328,0.134,7.057,R,12.5468136183953,28.6007552367805,23.234436989219137,0.266,0.315,0.453,7.0,25.7
Matt Wallner,670242,76.603,12.584,-28.218,-6.294,45.06,21.756,0.132,7.428,L,26.76470001789019,31.355995478505463,10.569006066341611,0.202,0.311,0.464,11.7,29.1
Jordan Walker,691023,78.13,6.219,-31.429,-5.437,45.588,21.72,0.145,8.265,R,23.79623586739364,31.757730041018498,6.269504102845828,0.215,0.278,0.306,7.3,31.8
Javier Báez,595879,73.473,9.964,-30.26,-5.514,41.832,19.692,0.154,8.262,R,19.59803332417594,28.714867981396303,10.185186300631596,0.257,0.282,0.398,2.3,24.9
Luis Robert,673357,75.61,12.126,-36.516,-5.104,45.588,21.168,0.141,7.808,R,31.28882724956889,27.195697144361745,-0.8051525489196156,0.223,0.297,0.364,9.3,26.0
Liam Hicks,689414,67.309,8.983,-32.615,-1.744,40.464,18.864,0.136,6.694,L,27.412931022030605,26.262323091346847,2.687847209631476,0.247,0.346,0.346,11.0,14.4
Wenceel Pérez,672761,70.597,8.018,-29.759,-4.118,38.208,17.64,0.135,6.961,L,24.500213476657088,24.617617324452247,4.037670993966165,0.244,0.308,0.43,8.1,22.7
Wenceel Pérez,672761,70.597,8.018,-29.759,-4.118,38.208,17.64,0.135,6.961,R,27.454692285865328,23.07256220285806,0.1249190370682083,0.244,0.308,0.43,8.1,22.7
Kody Clemens,665019,72.223,12.387,-26.972,-3.055,43.296,20.844,0.138,7.281,L,31.978037921587383,27.58092463327158,1.449167186715575,0.213,0.281,0.434,7.5,24.1
Royce Lewis,668904,73.66,10.795,-28.926,-7.631,42.336,20.352,0.149,8.026,R,24.57075905049238,26.489809009927544,3.991358715035721,0.237,0.283,0.388,6.2,19.9
Chandler Simpson,802415,63.872,3.416,-30.188,7.09,42.168,19.332,0.135,6.295,L,27.213888227775968,31.991942725719287,-6.247654203475065,0.295,0.326,0.345,4.5,9.8
Ramón Urías,602104,70.865,13.732,-27.107,0.343,39.012,18.732,0.148,7.685,R,29.60285438612412,28.40992035573269,-0.3331333100370733,0.241,0.292,0.384,6.9,22.5
José Caballero,676609,68.798,9.919,-31.561,-0.441,37.751999999999995,17.544,0.134,6.757,R,20.985728265357974,23.850348987874085,13.255637977002769,0.236,0.339,0.347,12.7,26.5
Adley Rutschman,668939,70.069,9.425,-34.578,-1.416,41.124,19.524,0.134,6.871,L,26.92129111700008,26.24237293811088,-1.3249907949699653,0.22,0.307,0.366,11.0,15.6
Adley Rutschman,668939,70.069,9.425,-34.578,-1.416,41.124,19.524,0.134,6.871,R,27.333600066333485,26.840230993918706,-0.0967543000854678,0.22,0.307,0.366,11.0,15.6
Colton Cowser,681297,73.524,16.074,-39.142,-3.442,41.028,19.476,0.136,7.295,L,27.582747200135323,28.28420079022947,8.70010581124411,0.196,0.269,0.385,7.5,35.6
Pedro Pagés,686780,72.621,7.111,-30.457,-3.072,39.192,18.708,0.134,7.115,R,27.144136357338763,28.85287375766288,8.875692921905076,0.23,0.272,0.363,4.9,27.5
Ezequiel Tovar,678662,71.553,10.847,-36.042,0.731,39.660000000000004,18.107999999999997,0.144,7.526,R,28.334090079564657,23.868547516584577,0.7861842619866274,0.253,0.294,0.4,5.4,25.1
Kyle Isbel,664728,69.969,2.146,-24.139,-3.702,41.496,19.14,0.138,7.062,L,28.32809441173057,26.129401891445973,2.818537790165242,0.255,0.301,0.353,5.6,18.1
Jared Triolo,669707,71.405,8.49,-37.302,-2.09,44.808,20.88,0.148,7.755,R,29.4444471550434,26.933141036055662,-1.2115473859140695,0.227,0.311,0.356,10.4,20.2
Andrés Giménez,665926,69.327,8.289,-31.394,2.943,40.56,18.384,0.139,7.05,L,26.96116229224,29.342345659402365,2.2260299485065493,0.21,0.285,0.313,6.8,17.9
Jake Mangum,663968,67.273,2.217,-29.254,11.348,40.176,17.94,0.132,6.53,L,26.5426509257116,28.691261780244137,-7.39450795639756,0.296,0.33,0.368,4.4,15.0
Jake Mangum,663968,67.273,2.217,-29.254,11.348,40.176,17.94,0.132,6.53,R,26.27000588819968,28.08192202648341,-0.313214675578161,0.296,0.33,0.368,4.4,15.0
Rhys Hoskins,656555,71.011,16.756,-33.636,-6.923,41.160000000000004,18.972,0.157,8.165,R,31.16125453172973,28.57258811884671,1.3393865251809824,0.237,0.332,0.416,11.6,27.7
Víctor Caratini,605170,72.407,10.824,-35.027,-3.821,40.272,18.396,0.132,6.999,L,30.21185035434237,24.027711462059997,7.437412575175157,0.259,0.324,0.404,6.0,16.8
Víctor Caratini,605170,72.407,10.824,-35.027,-3.821,40.272,18.396,0.132,6.999,R,30.38281560308461,24.507385847952158,5.3550999650869455,0.259,0.324,0.404,6.0,16.8
Brayan Rocchio,677587,69.862,10.783,-28.836,-5.497,37.284000000000006,16.86,0.143,7.307,L,27.24743906031727,22.881693442873395,7.049748872776941,0.233,0.29,0.34,5.7,20.1
Brayan Rocchio,677587,69.862,10.783,-28.836,-5.497,37.284000000000006,16.86,0.143,7.307,R,22.652178867610964,26.153974175101087,11.51143672541414,0.233,0.29,0.34,5.7,20.1
Nick Gonzales,693304,70.549,8.907,-33.193,-0.123,41.903999999999996,19.092,0.146,7.552,R,31.868659714021387,26.946870517912807,-1.9105341936177984,0.26,0.299,0.362,5.1,17.9
Tyler Stephenson,663886,70.167,13.366,-37.523,0.585,39.744,18.468,0.144,7.385,R,27.05047890627569,29.32010171753565,2.1592357494660632,0.231,0.316,0.421,10.8,33.9
Freddy Fermin,666023,69.393,8.774,-34.553,-0.574,39.012,18.084,0.143,7.28,R,29.086512817818928,27.603203898232263,-0.344391213426732,0.251,0.297,0.339,5.5,18.7
Jose Iglesias,578428,68.784,2.629,-33.516,4.193,38.556,16.956,0.131,6.602,R,22.461337643233424,27.2881674030712,2.350923670352937,0.229,0.298,0.294,7.0,16.3
Jacob Young,696285,67.866,5.853,-31.005,4.163,38.688,17.496,0.141,7.014,R,29.78119111764116,31.49307009659709,-3.575240122127717,0.231,0.296,0.287,7.4,17.9
Michael Toglia,669911,72.663,14.845,-35.834,-2.672,45.132000000000005,21.576,0.143,7.588,L,27.128050046108207,30.30146143334122,0.3317397997294967,0.19,0.258,0.353,8.3,39.2
Michael Toglia,669911,72.663,14.845,-35.834,-2.672,45.132000000000005,21.576,0.143,7.588,R,22.091263227406664,30.56727008544185,8.34931361145339,0.19,0.258,0.353,8.3,39.2
Sean Murphy,669221,72.61,12.454,-30.835,-3.966,41.196,19.56,0.148,7.836,R,29.8756918008843,30.97861205446673,0.8301403110619112,0.199,0.3,0.409,10.4,31.2
Ryan Mountcastle,663624,75.304,7.494,-36.05,-1.294,44.088,21.576,0.137,7.549,R,25.58447031535735,31.116298606319315,2.009855335310069,0.25,0.286,0.367,4.2,27.5
Danny Jansen,643376,69.377,14.816,-29.857,-4.772,39.828,18.396,0.135,6.841,R,22.8064455511211,30.23242108169031,12.404198930562282,0.215,0.321,0.399,12.5,25.5
Joey Bart,663698,74.29,8.728,-34.088,-1.229,41.256,18.852,0.134,7.319,R,30.751815717515655,28.644963080829417,2.8647540259069206,0.249,0.355,0.34,12.0,28.0
Mauricio Dubón,643289,67.984,5.498,-29.821,1.08,40.608,19.200000000000003,0.15,7.44,R,26.2014644733314,28.3205770715836,0.668096808635842,0.241,0.289,0.355,6.0,10.6
Jake Meyers,676694,68.316,6.875,-32.405,-2.346,41.196,19.524,0.139,6.942,R,30.61304684387451,30.58346804805202,-0.8810065978007997,0.292,0.354,0.373,8.1,17.6
Jj Bleday,668709,71.732,15.497,-31.631,-11.158,40.032,19.5,0.143,7.514,L,26.91268335396861,31.475951652922458,5.086961174621152,0.212,0.294,0.404,10.5,26.5
Casey Schmitt,669477,71.673,11.387,-35.047,-7.735,40.644,19.008000000000003,0.143,7.512,R,29.34522796671553,23.53795004531952,3.300100941982821,0.237,0.305,0.401,7.8,23.9
Jake Burger,669394,74.685,7.7,-24.934,-4.292,40.068,18.804,0.136,7.441,R,23.68821053855086,31.767621459423093,7.866651625132585,0.236,0.269,0.419,3.2,24.7
Gabriel Moreno,672515,70.925,8.304,-33.782,4.311,39.839999999999996,18.192,0.133,6.925,R,28.19408399752749,26.328778838728415,5.185605910158203,0.285,0.353,0.433,9.4,17.2
Alex Call,669743,65.733,6.898,-33.383,8.536,41.508,20.532,0.135,6.524,R,33.700448109931635,27.38176054402711,-6.215118632499002,0.267,0.361,0.385,11.2,17.1
Tommy Edman,669242,70.261,9.976,-26.642,-1.295,40.248000000000005,18.084,0.134,6.912,L,29.033934618884064,26.399091110616315,0.6421687359485698,0.225,0.274,0.382,5.0,16.2
Tommy Edman,669242,70.261,9.976,-26.642,-1.295,40.248000000000005,18.084,0.134,6.912,R,27.22886458099135,29.226909831154867,2.485010422716324,0.225,0.274,0.382,5.0,16.2
Daylen Lile,695734,69.154,9.197,-37.909,-1.009,41.22,19.056,0.141,7.141,L,28.96948846329644,25.77933420363905,-2.437063252165636,0.299,0.347,0.498,6.0,16.0
Santiago Espinal,669289,68.41,6.734,-34.52,-1.723,41.04,19.404,0.148,7.405,R,36.64130353192501,25.82279638364575,-4.8991747144637054,0.243,0.292,0.282,6.4,11.6
Luis Urías,649966,69.362,11.174,-27.791,-1.993,39.084,18.504,0.147,7.458,R,29.60720633845727,25.9435367251062,0.1016675211541768,0.23,0.315,0.338,9.4,13.6
Jordan Westburg,676059,70.794,10.539,-29.78,-1.528,42.588,19.812,0.13,6.745,R,23.58373431880701,32.359264463448284,7.566638436391935,0.265,0.313,0.457,4.8,22.7
Jorge Soler,624585,74.077,8.415,-33.568,-7.767,44.22,21.012,0.142,7.727,R,28.608753072419407,29.016495534443443,-0.4342445359694979,0.215,0.293,0.387,8.9,29.8
Rowdy Tellez,642133,74.762,8.014,-29.725,-7.607,43.224,19.956,0.146,7.961,L,27.465977142757197,25.950071360746577,7.796770672138014,0.228,0.276,0.443,5.4,26.6
Roman Anthony,701350,75.146,10.639,-30.097,-1.327,43.248000000000005,20.567999999999998,0.134,7.403,L,28.98271159271461,25.388379452563687,7.054215567273852,0.292,0.396,0.463,13.2,27.7
Kyle Higashioka,543309,70.874,12.571,-32.292,-6.811,41.867999999999995,20.016,0.139,7.204,R,30.373518812593662,23.7879178791927,-0.93149932380875,0.241,0.291,0.403,6.1,22.0
Taylor Walls,670764,68.537,10.124,-34.33,4.084,41.604,19.104,0.139,6.984,L,28.25788135988226,26.663269010554934,-3.309034347635807,0.22,0.28,0.319,8.2,22.1
Taylor Walls,670764,68.537,10.124,-34.33,4.084,41.604,19.104,0.139,6.984,R,31.578603378261032,25.00407013285564,-2.8567585683733965,0.22,0.28,0.319,8.2,22.1
Michael Taylor,572191,71.821,13.591,-31.193,1.614,42.744,19.98,0.133,7.02,R,22.47823317760304,30.89144032372616,7.708598186943567,0.2,0.259,0.366,7.1,33.8
Noelvi Marte,682622,73.255,9.737,-30.954,-4.252,41.292,20.004,0.137,7.367,R,26.975682643532892,27.46172690576291,7.665586516569347,0.263,0.3,0.448,4.4,23.6
Pavin Smith,656976,72.038,13.37,-32.75,0.815,41.712,19.451999999999998,0.139,7.355,L,28.9510824459298,28.92321039306246,-0.5544292494960387,0.258,0.362,0.434,14.2,31.9
Starling Marte,516782,72.588,8.606,-35.359,-0.129,42.432,18.9,0.137,7.271,R,18.52624675502325,28.593851271823315,5.450381368681547,0.27,0.335,0.41,6.7,20.7
